seed,test_id,reset_model,result,observed_expected_counterexample,unexpected_failure,observed,classification,replay_cmd,notes
18,RAND-POST-UNAUTH-DMA,RST-A,PASS,NO,NO,DENY,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-8.elf +RC_TEST=8",exit=0
19,RAND-CPU-STORE-FAULT,RST-B,PASS,NO,NO,mcause=7,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-5.elf +RC_TEST=5",exit=0
20,RAND-EARLY-UNAUTH,RST-A,PASS,YES,NO,UNSAFE_REACHABLE,RESET_ASSUMPTION_DEPENDENCY,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-1.elf +RC_TEST=1",exit=0
21,RAND-POST-AUTH-DMA,RST-B,PASS,NO,NO,ALLOW,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-7.elf +RC_TEST=7",exit=0
22,RAND-POST-UNAUTH-DMA,RST-A,PASS,NO,NO,DENY,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-8.elf +RC_TEST=8",exit=0
23,RAND-CPU-STORE-FAULT,RST-B,PASS,NO,NO,mcause=7,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-5.elf +RC_TEST=5",exit=0
24,RAND-EARLY-UNAUTH,RST-A,PASS,YES,NO,UNSAFE_REACHABLE,RESET_ASSUMPTION_DEPENDENCY,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-1.elf +RC_TEST=1",exit=0
25,RAND-POST-AUTH-DMA,RST-B,PASS,NO,NO,ALLOW,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-7.elf +RC_TEST=7",exit=0
26,RAND-POST-UNAUTH-DMA,RST-A,PASS,NO,NO,DENY,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-8.elf +RC_TEST=8",exit=0
27,RAND-CPU-STORE-FAULT,RST-B,PASS,NO,NO,mcause=7,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-5.elf +RC_TEST=5",exit=0
